SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0904100008030000,42.9345913242,-78.8119493743,2019,76000,44 MARTHA,220,TWO FAMILY DWELLING
0887500004032000,42.9230586906,-78.8884201652,2011,30000,103 GREENWOOD,210,ONE FAMILY DWELLING
0897100001049000,42.9245607301,-78.8709447418,2017,420000,764 POTOMAC,220,TWO FAMILY DWELLING
0894200004022000,42.9341384771,-78.8512418366,1994,72000,151 PARKSIDE,210,ONE FAMILY DWELLING
0897500006028000,42.9222809674,-78.8485622569,2019,80000,232 DELAVAN EAST,220,TWO FAMILY DWELLING
0892100006014000,42.9403681475,-78.8790045588,2003,100000,1602 ELMWOOD,432,SERVICE AND GAS STATIONS
0892100006073000,42.9388461127,-78.8803547362,2013,189000,42 ELMVIEW,220,TWO FAMILY DWELLING
0895700005008000,42.9288816301,-78.8536657694,1998,150000,103 HUMBOLDT,411,APARTMENT
0903300005010000,42.9375769657,-78.8091829706,1994,19500,116 DAVIDSON,210,ONE FAMILY DWELLING
0892900001003000,42.9384190137,-78.8780345661,2019,365000,148 FORDHAM,210,ONE FAMILY DWELLING
0896100003029000,42.9263938307,-78.8792025071,2003,78500,151 CLAREMONT,220,TWO FAMILY DWELLING
0902900002023000,42.9389395672,-78.8331158432,2016,33000,47 BENNETT VILL,210,ONE FAMILY DWELLING
0903200010024000,42.9375185378,-78.8191468384,2016,12100,61 ELMER,210,ONE FAMILY DWELLING
0896900002010000,42.9253930011,-78.8787052095,2005,129000,750 ASHLAND,220,TWO FAMILY DWELLING
0902600003023000,42.9401398332,-78.80408612,2011,68750,100 LEONARD,210,ONE FAMILY DWELLING
0904000008024000,42.9345902655,-78.8154683539,2011,34000,77 COLLINGWOOD,210,ONE FAMILY DWELLING
0902500002002000,42.9409143073,-78.810310412,2018,35000,487 BERKSHIRE,220,TWO FAMILY DWELLING
0898200001019000,42.9218234727,-78.8512162188,2009,25000,161 DELAVAN EAST,220,TWO FAMILY DWELLING
0896900002003000,42.9258226605,-78.8788004516,2018,395000,541 BIRD,210,ONE FAMILY DWELLING
0888200002007000,42.9221787637,-78.8957808884,2017,74900,96 DELAVAN WEST,210,ONE FAMILY DWELLING
0895000002018000,42.931919259,-78.8495184751,2006,148500,130 CRESCENT,210,ONE FAMILY DWELLING
0892600001003000,42.9420002478,-78.8529794316,2012,539000,79 TILLINGHAST,210,ONE FAMILY DWELLING
0903500003015000,42.9375898447,-78.7997224279,2019,79000,370 DAVIDSON,220,TWO FAMILY DWELLING
